,主机IP地址,中文全称,业务类型,设备类型,英文全称,英文简称,系统类型,服务时间要求,"允许中断时间
（分钟）",开发单位,主管业务部门,行名,主机放置地点,机柜,主机类型,操作系统,运维A岗,运维B岗,系统分类,设备投产日期,设备价格,设备内部编号,设备名称,设备类型.1,设备新增标志,设备使用期限内外,设备所占机柜U数量,状态
0,26.32.186.93,,办公计算机（PC）,WINDOWS,,,WINDOWS,,,,,中国建设银行股份有限公司吉林市江湾路支行,,,,Win7 x32,,,,,,,,,,,,
1,26.32.186.86,,办公计算机（PC）,WINDOWS,,,WINDOWS,,,,,中国建设银行股份有限公司吉林市江湾路支行,,,,Win7 x32,,,,,,,,,,,,
2,26.32.186.38,,办公计算机（PC）,WINDOWS,,,WINDOWS,,,,,中国建设银行股份有限公司吉林市顺城支行,,,,XP,,,,,,,,,,,,
3,26.32.184.59,,办公计算机（PC）,WINDOWS,,,WINDOWS,,,,,中国建设银行股份有限公司吉林市船营支行,,,,Win7 x32,,,,,,,,,,,,
4,26.32.186.41,,办公计算机（PC）,WINDOWS,,,WINDOWS,,,,,中国建设银行股份有限公司吉林市顺城支行,,,,Win7 x32,,,,,,,,,,,,
5,26.32.176.5,,办公计算机（PC）,WINDOWS,,,WINDOWS,,,,,中国建设银行股份有限公司吉林市分行信息技术部,,,,Win7 x32,,,,,,,,,,,,
6,26.32.181.90,,办公计算机（PC）,WINDOWS,,,WINDOWS,,,,,中国建设银行股份有限公司蛟河支行,,,,Win7 x32,,,,,,,,,,,,
7,26.32.51.92,,员工渠道终端,WINDOWS,,,WINDOWS,,,,,中国建设银行股份有限公司吉林市蛟河支行客户服务部,,,,WES7,,,,,,,,,,,,
8,26.112.51.238,,员工渠道终端,WINDOWS,,,WINDOWS,,,,,中国建设银行股份有限公司松原石化园区支行,,,,XPE,,,,,,,,,,,,
9,26.4.47.82,,,WINDOWS,,,WINDOWS,,,,,中国建设银行股份有限公司吉林省分行,,,,WES7,,,,,,,,,,,,
10,26.32.50.50,,员工渠道终端,WINDOWS,,,WINDOWS,,,,,中国建设银行股份有限公司吉林市世纪广场支行,,,,WES7,,,,,,,,,,,,
11,26.8.53.173,,员工渠道终端,WINDOWS,,,WINDOWS,,,,,中国建设银行股份有限公司榆树向阳路支行,,,,WES7,,,,,,,,,,,,
12,26.6.182.136,,大堂经理,ANDROID,,,ANDROID,,,,,中国建设银行股份有限公司松原长宁南街支行,,,,Android 6.0.1,,,,,,,,,,,,
13,26.64.45.20,,员工渠道终端,WINDOWS,,,WINDOWS,,,,,中国建设银行股份有限公司东丰支行,,,,WES7,,,,,,,,,,,,
14,26.32.51.209,,,WINDOWS,,,WINDOWS,,,,,中国建设银行股份有限公司吉林省分行,,,,WES7,,,,,,,,,,,,
15,26.64.55.78,,,WINDOWS,,,WINDOWS,,,,,中国建设银行股份有限公司吉林省分行,,,,WES7,,,,,,,,,,,,
16,26.0.63.34,,,WINDOWS,,,WINDOWS,,,,,中国建设银行股份有限公司吉林省分行,,,,8.1,,,,,,,,,,,,
17,26.32.184.50,,办公计算机（PC）,WINDOWS,,,WINDOWS,,,,,中国建设银行股份有限公司吉林市船营支行,,,,XP,,,,,,,,,,,,
18,26.32.184.45,,办公计算机（PC）,WINDOWS,,,WINDOWS,,,,,中国建设银行股份有限公司吉林市船营支行,,,,Win7 x32,,,,,,,,,,,,
19,26.32.177.42,,网点缓存机,WINDOWS,,,WINDOWS,,,,,中国建设银行股份有限公司吉林市顺城支行,,,,Win7 x32,,,,,,,,,,,,
20,26.32.177.39,,办公计算机（PC）,WINDOWS,,,WINDOWS,,,,,中国建设银行股份有限公司吉林市顺城支行,,,,Win7 x32,,,,,,,,,,,,
21,26.19.62.242,,,WINDOWS,,,WINDOWS,,,,,中国建设银行股份有限公司吉林省分行,,,,XPE,,,,,,,,,,,,
22,26.64.45.24,,员工渠道终端,WINDOWS,,,WINDOWS,,,,,中国建设银行股份有限公司东丰支行,,,,WES7,,,,,,,,,,,,
23,26.32.51.218,,员工渠道终端,WINDOWS,,,WINDOWS,,,,,中国建设银行股份有限公司桦甸支行,,,,WES7,,,,,,,,,,,,
24,26.128.47.57,,员工渠道终端,WINDOWS,,,WINDOWS,,,,,中国建设银行股份有限公司白城大安大赉支行,,,,WES7,,,,,,,,,,,,
25,26.48.49.8,,员工渠道终端,WINDOWS,,,WINDOWS,,,,,中国建设银行股份有限公司伊通支行,,,,WES7,,,,,,,,,,,,
26,26.128.187.204,,,WINDOWS,,,WINDOWS,,,,,中国建设银行股份有限公司吉林省分行,,,,Win7 x32,,,,,,,,,,,,
27,26.6.175.172,,大堂经理,ANDROID,,,ANDROID,,,,,中国建设银行股份有限公司吉林市松江支行,,,,Android 6.0.1,,,,,,,,,,,,
28,26.144.49.81,,员工渠道终端,WINDOWS,,,WINDOWS,,,,,中国建设银行股份有限公司敦化支行,,,,WES7,,,,,,,,,,,,
29,26.48.176.74,,办公计算机（PC）,WINDOWS,,,WINDOWS,,,,,中国建设银行股份有限公司公主岭支行个人金融部,,,,Win7 x32,,,,,,,,,,,,
30,26.5.176.155,,员工渠道信用卡分期平板,ANDROID,,,ANDROID,,,,,中国建设银行股份有限公司长春第一汽车集团公司支行零售业务中心,,,,Android 6.0.1,,,,,,,,,,,,
31,26.112.54.108,,,WINDOWS,,,WINDOWS,,,,,中国建设银行股份有限公司吉林省分行,,,,8.1,,,,,,,,,,,,
32,0.0.0.0,,员工渠道信用卡分期平板,ANDROID,,,ANDROID,,,,,中国建设银行股份有限公司长春第一汽车集团公司支行零售业务中心,,,,Android 6.0.1,,,,,,,,,,,,
33,26.32.62.20,,,WINDOWS,,,WINDOWS,,,,,中国建设银行股份有限公司吉林省分行,,,,WES7,,,,,,,,,,,,
34,26.48.49.172,,员工渠道终端,WINDOWS,,,WINDOWS,,,,,中国建设银行股份有限公司双辽新市街支行,,,,WES7,,,,,,,,,,,,
35,26.112.191.241,,员工渠道终端,WINDOWS,,,WINDOWS,,,,,中国建设银行股份有限公司松原分行电子银行部,,,,WES7,,,,,,,,,,,,
36,26.112.177.152,,办公计算机（PC）,WINDOWS,,,WINDOWS,,,,,中国建设银行股份有限公司松原分行电子银行部,,,,Win7 x32,,,,,,,,,,,,
37,26.16.47.14,,员工渠道终端,WINDOWS,,,WINDOWS,,,,,中国建设银行股份有限公司长春第一汽车集团公司支行,,,,WES7,,,,,,,,,,,,
38,26.16.173.13,,办公计算机（PC）,WINDOWS,,,WINDOWS,,,,,中国建行银行股份有限公司长春三道街支行,,,,Win7 x32,,,,,,,,,,,,
39,26.8.51.46,,员工渠道终端,WINDOWS,,,WINDOWS,,,,,中国建设银行股份有限公司长春威尼斯花园支,,,,WES7,,,,,,,,,,,,
40,26.8.51.47,,员工渠道终端,WINDOWS,,,WINDOWS,,,,,中国建设银行股份有限公司长春威尼斯花园支,,,,WES7,,,,,,,,,,,,
41,26.112.173.143,,办公计算机（PC）,WINDOWS,,,WINDOWS,,,,,中国建设银行股份有限公司松原油田支行,,,,Win7 x32,,,,,,,,,,,,
42,26.112.173.141,,办公计算机（PC）,WINDOWS,,,WINDOWS,,,,,中国建设银行股份有限公司松原油田支行,,,,Win7 x32,,,,,,,,,,,,
43,26.5.176.121,,员工渠道信用卡分期平板,ANDROID,,,ANDROID,,,,,中国建设银行股份有限公司长春第一汽车集团公司支行零售业务中心,,,,Android 6.0.1,,,,,,,,,,,,
